movieId,links__imdbId,links__tmdbId,movies (1)__title,movies (1)__genres,ratings (1)__userId,ratings (1)__rating,ratings (1)__timestamp,tags (1)__userId,tags (1)__tag,tags (1)__timestamp
1,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1.0,4.0,964982703.0,336.0,pixar,1139045764.0
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,6.0,4.0,845553522.0,62.0,fantasy,1528843929.0
3,113228,15602.0,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,964981247.0,289.0,moldy,1143424860.0
4,114885,31357.0,Waiting to Exhale (1995),Comedy|Drama|Romance,6.0,3.0,845554349.0,,,
5,113041,11862.0,Father of the Bride Part II (1995),Comedy,6.0,5.0,845553938.0,474.0,pregnancy,1137373903.0
6,113277,949.0,Heat (1995),Action|Crime|Thriller,1.0,4.0,964982224.0,,,
7,114319,11860.0,Sabrina (1995),Comedy|Romance,6.0,4.0,845554264.0,474.0,remake,1137375642.0
8,112302,45325.0,Tom and Huck (1995),Adventure|Children,6.0,3.0,845555281.0,,,
9,114576,9091.0,Sudden Death (1995),Action,151.0,4.0,855947372.0,,,
10,113189,710.0,GoldenEye (1995),Action|Adventure|Thriller,6.0,3.0,845553253.0,,,
11,112346,9087.0,"American President, The (1995)",Comedy|Drama|Romance,6.0,4.0,845553489.0,474.0,politics,1137374904.0
12,112896,12110.0,Dracula: Dead and Loving It (1995),Comedy|Horror,19.0,1.0,965705347.0,,,
13,112453,21032.0,Balto (1995),Adventure|Animation|Children,6.0,3.0,845555588.0,,,
14,113987,10858.0,Nixon (1995),Drama,84.0,4.0,857653349.0,474.0,politics,1137375623.0
15,112760,1408.0,Cutthroat Island (1995),Action|Adventure|Romance,6.0,4.0,845554505.0,,,
16,112641,524.0,Casino (1995),Crime|Drama,6.0,4.0,845553819.0,474.0,Mafia,1137181640.0
17,114388,4584.0,Sense and Sensibility (1995),Drama|Romance,6.0,4.0,845553559.0,474.0,Jane Austen,1137181153.0
18,113101,5.0,Four Rooms (1995),Comedy,44.0,4.0,869252115.0,,,
19,112281,9273.0,Ace Ventura: When Nature Calls (1995),Comedy,6.0,2.0,845553382.0,,,
20,113845,11517.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,78.0,3.0,1252573422.0,,,
21,113161,8012.0,Get Shorty (1995),Comedy|Crime|Thriller,4.0,3.0,986935199.0,474.0,Hollywood,1137206178.0
22,112722,1710.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,6.0,5.0,845553875.0,474.0,serial killer,1137375496.0
23,112401,9691.0,Assassins (1995),Action|Crime|Thriller,28.0,1.5,1242290862.0,,,
24,114168,12665.0,Powder (1995),Drama|Sci-Fi,6.0,4.0,845554397.0,,,
25,113627,451.0,Leaving Las Vegas (1995),Drama|Romance,6.0,3.0,845553695.0,474.0,alcoholism,1138137555.0
26,114057,16420.0,Othello (1995),Drama,6.0,4.0,845555362.0,474.0,Shakespeare,1138137603.0
27,114011,9263.0,Now and Then (1995),Children|Drama,6.0,3.0,845555402.0,,,
28,114117,17015.0,Persuasion (1995),Drama|Romance,33.0,5.0,939654815.0,474.0,In Netflix queue,1137201942.0
29,112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,23.0,4.0,1107341574.0,474.0,kidnapping,1138137473.0
30,115012,37557.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,325.0,4.0,1039399501.0,,,
31,112792,9909.0,Dangerous Minds (1995),Drama,3.0,0.5,1306463578.0,474.0,high school,1137375502.0
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,4.0,2.0,945173447.0,424.0,time travel,1457901872.0
34,112431,9598.0,Babe (1995),Children|Drama,5.0,4.0,847434881.0,474.0,Animal movie,1137180956.0
36,112818,687.0,Dead Man Walking (1995),Crime|Drama,5.0,4.0,847435292.0,474.0,death penalty,1137202363.0
38,113442,33689.0,It Takes Two (1995),Children|Comedy,21.0,2.5,1419795113.0,474.0,twins,1137373760.0
39,112697,9603.0,Clueless (1995),Comedy|Romance,5.0,3.0,847434961.0,357.0,chick flick,1348627867.0
40,112749,34615.0,"Cry, the Beloved Country (1995)",Drama,311.0,3.5,1057854804.0,474.0,In Netflix queue,1137202107.0
41,114279,31174.0,Richard III (1995),Drama|War,6.0,4.0,845554962.0,474.0,Shakespeare,1138137646.0
42,112819,11443.0,Dead Presidents (1995),Action|Crime|Drama,234.0,4.0,1004408338.0,,,
43,114272,35196.0,Restoration (1995),Drama,6.0,4.0,845555607.0,474.0,England,1138137640.0
44,113855,9312.0,Mortal Kombat (1995),Action|Adventure|Fantasy,11.0,2.0,902154593.0,,,
45,114681,577.0,To Die For (1995),Comedy|Drama|Thriller,4.0,3.0,986935047.0,474.0,Journalism,1137206826.0
46,113347,11861.0,How to Make an American Quilt (1995),Drama|Romance,6.0,4.0,845554551.0,474.0,wedding,1137375539.0
47,114369,807.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1.0,5.0,964983815.0,424.0,mystery,1457842470.0
48,114148,10530.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,19.0,1.0,965709172.0,,,
49,114916,8391.0,When Night Is Falling (1995),Drama|Romance,202.0,3.0,974925453.0,,,
50,114814,629.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1.0,5.0,964982931.0,424.0,mindfuck,1457842328.0
52,113819,11448.0,Mighty Aphrodite (1995),Comedy|Drama|Romance,4.0,3.0,964622786.0,474.0,adoption,1137206315.0
53,110299,49133.0,Lamerica (1994),Adventure|Drama,85.0,5.0,889468268.0,,,
54,112499,26441.0,"Big Green, The (1995)",Children|Comedy,6.0,4.0,845555402.0,,,
55,113158,97406.0,Georgia (1995),Drama,84.0,4.0,858772543.0,,,
57,113321,9089.0,Home for the Holidays (1995),Drama,43.0,5.0,848994678.0,,,
58,110877,11010.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.0,3.0,964538444.0,474.0,writing,1138137613.0
60,113419,11359.0,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,6.0,4.0,845554263.0,,,
61,116260,17182.0,Eye for an Eye (1996),Drama|Thriller,6.0,4.0,845555454.0,,,
62,113862,2054.0,Mr. Holland's Opus (1995),Drama,6.0,4.0,845553660.0,474.0,music,1137374957.0
63,116126,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,226.0,3.5,1096420461.0,,,
64,118002,19760.0,Two if by Sea (1996),Comedy|Romance,19.0,2.0,965708037.0,,,
65,115683,9536.0,Bio-Dome (1996),Comedy,6.0,3.0,845555070.0,,,
66,116839,11525.0,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,6.0,3.0,845555151.0,,,
68,113149,4482.0,French Twist (Gazon maudit) (1995),Comedy|Romance,90.0,3.0,856354249.0,,,
69,113118,10634.0,Friday (1995),Comedy,45.0,3.0,951170141.0,,,
70,116367,755.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1.0,3.0,964982400.0,,,
71,113010,11859.0,Fair Game (1995),Action,113.0,1.0,980051522.0,,,
72,113537,28387.0,Kicking and Screaming (1995),Comedy|Drama,191.0,4.0,829760897.0,,,
73,113828,48750.0,"Misérables, Les (1995)",Drama|War,117.0,4.0,844163663.0,,,
74,115644,20927.0,Bed of Roses (1996),Drama|Romance,32.0,4.0,856736316.0,,,
75,115676,36929.0,Big Bully (1996),Comedy|Drama,151.0,3.0,855948083.0,,,
76,114367,9102.0,Screamers (1995),Action|Sci-Fi|Thriller,6.0,4.0,845555317.0,,,
77,113973,124626.0,Nico Icon (1995),Documentary,603.0,4.0,954482106.0,,,
78,112744,27526.0,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,32.0,4.0,856736477.0,,,
79,116731,9623.0,"Juror, The (1996)",Drama|Thriller,6.0,3.0,845554907.0,,,
80,112445,46785.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,325.0,4.0,1039397611.0,,,
81,114660,400.0,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,90.0,3.0,856354174.0,,,
82,112379,880.0,Antonia's Line (Antonia) (1995),Comedy|Drama,40.0,5.0,832060151.0,,,
83,114039,146599.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance,214.0,3.0,853938185.0,,,
85,112365,8447.0,Angels and Insects (1995),Drama|Romance,90.0,5.0,856354195.0,,,
86,118158,10534.0,White Squall (1996),Action|Adventure|Drama,6.0,5.0,845556131.0,,,
87,116151,17414.0,Dunston Checks In (1996),Children|Comedy,6.0,3.0,845555300.0,,,
88,115697,13997.0,Black Sheep (1996),Comedy,6.0,2.0,845555694.0,,,
89,113972,2086.0,Nick of Time (1995),Action|Thriller,6.0,4.0,845555124.0,,,
92,117002,9095.0,Mary Reilly (1996),Drama|Horror|Thriller,6.0,4.0,845555454.0,474.0,Jekyll and Hyde,1138137574.0
93,114825,12158.0,Vampire in Brooklyn (1995),Comedy|Horror|Romance,6.0,4.0,845554584.0,,,
94,115639,9283.0,Beautiful Girls (1996),Comedy|Drama|Romance,33.0,4.0,939716218.0,,,
95,115759,9208.0,Broken Arrow (1996),Action|Adventure|Thriller,6.0,4.0,845553559.0,,,
96,113403,40154.0,In the Bleak Midwinter (1995),Comedy|Drama,474.0,3.5,1053020997.0,474.0,theater,1138137537.0
97,113247,406.0,"Hate (Haine, La) (1995)",Crime|Drama,182.0,4.5,1075764905.0,,,
99,113283,63076.0,Heidi Fleiss: Hollywood Madam (1995),Documentary,191.0,5.0,829759809.0,,,
100,115907,11062.0,City Hall (1996),Drama|Thriller,6.0,3.0,845555151.0,,,
101,115734,13685.0,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1.0,5.0,964980868.0,474.0,crime,1138137460.0
102,117102,47475.0,Mr. Wrong (1996),Comedy,6.0,1.0,845555436.0,,,
103,118040,2045.0,Unforgettable (1996),Mystery|Sci-Fi|Thriller,492.0,3.0,863976674.0,,,
104,116483,9614.0,Happy Gilmore (1996),Comedy,6.0,4.0,845554349.0,167.0,test tag,1154718872.0
105,112579,688.0,"Bridges of Madison County, The (1995)",Drama|Romance,6.0,3.0,845553757.0,,,
106,110251,11907.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,4.0,4.0,986848784.0,,,
107,117110,10874.0,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,19.0,2.0,965706886.0,474.0,muppets,1137375573.0
108,112646,89333.0,Catwalk (1996),Documentary,603.0,4.0,954482070.0,,,
110,112573,197.0,Braveheart (1995),Action|Drama|War,1.0,4.0,964982176.0,62.0,beautiful scenery,1528152541.0
111,75314,103.0,Taxi Driver (1976),Crime|Drama|Thriller,16.0,4.5,1377477446.0,474.0,assassination,1137206513.0
112,113326,33542.0,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,6.0,4.0,845553994.0,,,
113,115645,43566.0,Before and After (1996),Drama|Mystery,6.0,3.0,845556257.0,,,
116,112373,51352.0,Anne Frank Remembered (1995),Documentary,90.0,5.0,856354268.0,474.0,Holocaust,1138040398.0
117,115033,16934.0,"Young Poisoner's Handbook, The (1995)",Crime|Drama,604.0,3.0,832080636.0,,,
118,116606,10324.0,If Lucy Fell (1996),Comedy|Romance,19.0,3.0,965708217.0,,,
119,114536,78406.0,"Steal Big, Steal Little (1995)",Comedy,414.0,3.0,961438609.0,,,
121,106473,32119.0,"Boys of St. Vincent, The (1992)",Drama,40.0,4.0,832060318.0,,,
122,103859,11066.0,Boomerang (1992),Comedy|Romance,42.0,3.0,996221451.0,474.0,dating,1137373679.0
123,109424,11104.0,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,246.0,5.0,1354125195.0,,,
125,116324,2074.0,Flirting With Disaster (1996),Comedy,4.0,5.0,964622758.0,,,
126,110647,27793.0,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,4.0,1.0,986848920.0,,,
128,110217,290157.0,Jupiter's Wife (1994),Documentary,260.0,3.0,1109410370.0,,,
129,114131,110972.0,Pie in the Sky (1996),Comedy|Romance,290.0,2.0,974937943.0,,,
132,113451,11863.0,Jade (1995),Thriller,136.0,3.0,832449989.0,,,
135,116130,9101.0,Down Periscope (1996),Comedy,6.0,3.0,845554987.0,,,
137,113756,5757.0,Man of the Year (1995),Documentary,609.0,3.0,847221054.0,,,
140,118055,9302.0,Up Close and Personal (1996),Drama|Romance,6.0,3.0,845555024.0,474.0,journalism,1137375031.0
141,115685,11000.0,"Birdcage, The (1996)",Comedy,6.0,4.0,845553586.0,,,
144,112585,16388.0,"Brothers McMullen, The (1995)",Comedy,42.0,4.0,996220026.0,,,
145,112442,9737.0,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,6.0,4.0,845553966.0,,,
146,112342,30765.0,"Amazing Panda Adventure, The (1995)",Adventure|Children,6.0,4.0,845555607.0,,,
147,112461,10474.0,"Basketball Diaries, The (1995)",Drama,28.0,2.5,1242289858.0,424.0,addiction,1457901627.0
148,112427,22279.0,"Awfully Big Adventure, An (1995)",Drama,191.0,5.0,829760897.0,,,
149,109093,30157.0,Amateur (1994),Crime|Drama|Thriller,603.0,2.0,963179615.0,,,
150,112384,568.0,Apollo 13 (1995),Adventure|Drama|IMAX,5.0,3.0,847434748.0,474.0,moon,1137205234.0
151,114287,11780.0,Rob Roy (1995),Action|Drama|Romance|War,1.0,5.0,964984041.0,,,
152,112288,34996.0,"Addiction, The (1995)",Drama|Horror,380.0,1.0,1494036422.0,,,
153,112462,414.0,Batman Forever (1995),Action|Adventure|Comedy|Crime,5.0,3.0,847434802.0,336.0,superhero,1139045840.0
154,61395,649.0,Beauty of the Day (Belle de jour) (1967),Drama,84.0,3.0,858771818.0,,,
155,112495,1873.0,Beyond Rangoon (1995),Adventure|Drama|War,191.0,4.0,829760897.0,,,
156,112541,5894.0,Blue in the Face (1995),Comedy|Drama,108.0,4.0,1042840602.0,,,
157,109370,1775.0,Canadian Bacon (1995),Comedy|War,1.0,5.0,964984100.0,,,
158,112642,8839.0,Casper (1995),Adventure|Children,6.0,4.0,845553660.0,,,
159,112688,20649.0,Clockers (1995),Crime|Drama|Mystery,6.0,3.0,845555006.0,,,
160,112715,10329.0,Congo (1995),Action|Adventure|Mystery|Sci-Fi,6.0,5.0,845553457.0,474.0,Michael Crichton,1137373726.0
161,112740,8963.0,Crimson Tide (1995),Drama|Thriller|War,6.0,3.0,845553253.0,474.0,submarine,1138137497.0
162,109508,26564.0,Crumb (1994),Documentary,4.0,5.0,945078571.0,474.0,In Netflix queue,1137202038.0
163,112851,8068.0,Desperado (1995),Action|Romance|Western,1.0,5.0,964983650.0,,,
